File,Lines,Comments,Blanks,Code,Lines-exe,Lines-dec,Stmt-exe,Stmt-dec,Ratio,Units,Cyclomatic,Modified,Strict,Essential,Avg Lines,Avg Code,Avg Comment,Avg Blank,bug
CpuPmeKernelFactory.h,50,35,7,6,0,4,0,3,5.83,0,0,0,0,0,0,0,0,0,0
CpuPmeKernels.cpp,623,57,55,509,385,210,319,212,0.11,16,7,7,7,1,34,31,2,2,0
CpuPmeKernels.h,132,74,7,43,0,39,0,37,1.72,1,1,1,1,1,3,3,0,0,0
CpuRandom.cpp,89,28,11,47,31,10,32,12,0.6,5,2,2,3,1,11,9,1,1,0
CpuRandom.h,61,35,6,16,0,13,0,12,2.19,0,0,0,0,0,0,0,0,0,0
CpuSETTLE.cpp,108,30,8,69,22,38,23,36,0.43,8,2,2,2,1,6,6,0,0,0
CpuSETTLE.h,79,51,8,14,0,11,0,10,3.64,0,0,0,0,0,0,0,0,0,0
cputicks.cpp,131,22,11,5,1,3,1,2,4.4,1,1,1,1,1,14,3,2,0,0
cputicks.h,40,20,11,5,0,4,0,3,4.0,0,0,0,0,0,0,0,0,0,0
CudaArray.cpp,91,25,7,54,34,11,30,11,0.46,5,3,3,3,1,11,11,0,0,0
CudaArray.h,146,84,8,47,15,24,13,20,1.79,7,1,1,2,1,4,4,0,0,0
CudaBondedUtilities.cpp,171,27,14,124,93,43,97,45,0.22,8,4,4,4,1,16,15,0,1,0
CudaBondedUtilities.h,139,99,7,27,0,24,0,23,3.67,0,0,0,0,0,0,0,0,0,0
CudaCompilerKernelFactory.cpp,68,27,6,24,11,7,8,11,1.12,4,2,2,2,1,7,6,1,0,0
CudaCompilerKernelFactory.h,50,35,7,6,0,4,0,3,5.83,0,0,0,0,0,0,0,0,0,0
CudaCompilerKernels.cpp,98,32,8,48,33,11,42,13,0.67,2,8,4,8,1,26,23,1,2,0
CudaCompilerKernels.h,61,43,6,8,0,5,0,4,5.38,1,1,1,1,1,2,2,0,0,0
CudaContext.cpp,1371,77,103,1136,856,324,811,304,0.07,42,7,6,8,1,29,27,1,1,0
CudaContext.h,712,362,16,318,69,187,61,184,1.14,54,1,1,1,1,3,3,0,0,0
CudaDrudeKernelFactory.cpp,72,26,7,33,20,7,14,11,0.79,4,2,2,2,1,8,8,0,0,0
CudaDrudeKernelFactory.h,50,35,7,6,0,4,0,3,5.83,0,0,0,0,0,0,0,0,0,0
CudaDrudeKernels.cpp,550,55,65,421,300,162,224,159,0.13,19,4,4,4,1,25,22,1,2,0
CudaDrudeKernels.h,162,99,8,50,0,38,0,34,1.98,3,1,1,1,1,3,3,0,0,0
CudaExpressionUtilities.cpp,732,41,28,662,516,155,520,153,0.06,10,16,12,18,7,69,66,2,2,0
CudaExpressionUtilities.h,128,65,7,46,6,31,4,21,1.41,5,1,1,1,1,3,3,0,0,0
CudaFFT3D.cpp,351,36,21,287,251,40,218,41,0.13,5,9,9,12,1,62,57,2,3,0
CudaFFT3D.h,101,75,7,17,2,14,0,13,4.41,0,0,0,0,0,0,0,0,0,0
CudaForceInfo.cpp,46,25,6,14,4,4,6,6,1.79,4,1,1,1,1,3,3,0,0,0
CudaForceInfo.h,64,43,7,11,0,8,0,7,3.91,1,1,1,1,1,2,2,0,0,0
CudaIntegrationUtilities.cpp,855,60,69,707,517,226,469,204,0.08,18,9,9,10,1,43,38,2,3,0
CudaIntegrationUtilities.h,163,82,7,69,3,60,3,59,1.19,3,1,1,1,1,3,3,0,0,0
CudaKernelFactory.cpp,130,26,4,94,90,3,89,4,0.28,1,45,45,45,45,95,93,1,1,0
CudaKernelFactory.h,45,30,7,6,0,4,0,3,5.0,0,0,0,0,0,0,0,0,0,0
CudaKernels.cpp,6584,226,500,5833,4434,1752,4041,1723,0.04,212,6,6,6,1,29,27,1,2,0
CudaKernels.h,1429,761,38,620,11,498,9,470,1.23,39,1,1,1,1,3,3,0,0,0
CudaNonbondedUtilities.cpp,637,48,48,528,422,115,405,114,0.09,23,6,6,6,1,25,23,1,1,0
CudaNonbondedUtilities.h,338,175,10,146,30,83,29,81,1.2,26,1,1,1,1,3,3,0,0,0
CudaParallelKernels.cpp,788,36,85,647,263,338,292,294,0.06,88,2,2,2,1,6,6,0,0,0
CudaParallelKernels.h,593,361,19,209,14,139,14,138,1.73,14,1,1,1,1,3,3,0,0,0
CudaParameterSet.cpp,198,28,9,151,101,53,120,59,0.19,5,10,10,11,1,28,28,0,0,0
CudaParameterSet.h,108,70,8,27,5,18,3,15,2.59,3,1,1,1,1,3,3,0,0,0
CudaPlatform.cpp,256,27,18,171,131,50,115,45,0.16,12,3,3,3,1,16,14,0,0,0
CudaPlatform.h,133,54,9,66,18,44,9,42,0.82,9,1,1,1,1,4,4,0,0,0
CudaRpmdKernelFactory.cpp,66,26,7,27,14,7,8,11,0.96,4,2,2,2,1,7,7,0,0,0
CudaRpmdKernelFactory.h,50,35,7,6,0,4,0,3,5.83,0,0,0,0,0,0,0,0,0,0
CudaRpmdKernels.cpp,545,57,56,424,356,99,313,95,0.13,10,8,8,9,1,49,42,2,4,0
CudaRpmdKernels.h,106,65,6,30,0,26,0,24,2.17,1,1,1,1,1,3,3,0,0,0
CudaSort.cpp,141,34,20,84,69,19,59,18,0.4,3,6,6,6,1,35,27,3,5,0
CudaSort.h,144,98,9,33,0,27,0,26,2.97,1,1,1,1,1,2,2,0,0,0
CustomAngleForce.cpp,125,30,18,68,32,16,44,20,0.44,16,2,2,2,1,4,4,0,0,0
CustomAngleForce.h,271,187,10,69,4,45,4,43,2.71,10,1,1,1,1,3,3,0,0,0
CustomAngleForceImpl.cpp,111,31,10,65,31,19,38,26,0.48,7,2,2,2,1,9,8,0,0,0
CustomAngleForceImpl.h,70,36,7,20,1,14,1,13,1.8,2,1,1,1,1,3,3,1,0,0
CustomAngleForceProxy.cpp,108,30,5,68,47,27,42,29,0.44,3,5,5,5,1,22,22,0,0,0
CustomAngleForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
CustomBondForce.cpp,123,30,18,66,30,16,42,20,0.45,16,2,2,2,1,4,4,0,0,0
CustomBondForce.h,268,184,10,69,4,45,4,43,2.67,10,1,1,1,1,3,3,0,0,0
