function,cyclomatic,modified,strict,essential,nesting,path_count,path_c_log,bug
OpenMM::AmoebaInPlaneAngleForce::usesPeriodicBoundaryConditions,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForceImpl::AmoebaInPlaneAngleForceImpl,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForceImpl::calcForcesAndEnergy,2,2,2,1,1,2,0,0
OpenMM::AmoebaInPlaneAngleForceImpl::getDefaultParameters,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForceImpl::getKernelNames,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForceImpl::getOwner,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForceImpl::initialize,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForceImpl::updateContextState,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForceImpl::updateParametersInContext,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForceImpl::~AmoebaInPlaneAngleForceImpl,1,1,1,1,0,1,0,0
