Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
LAMMPS.py,2.0,2.0,2.0,1.0,9.0,1.0,6.0,2.0,5.0,8.0,8.0,195.0,36.0,70.0,20.0,50.0,96.0,0.0,0.0,68.0,18.0,50.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,1.37,18.0,18.0,18.0,14.0,0.0
MOL2.py,2.0,2.0,2.0,1.0,18.0,3.0,10.0,5.0,3.0,13.0,13.0,350.0,72.0,154.0,25.0,129.0,133.0,0.0,0.0,149.0,22.0,127.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,6.0,3.0,0.86,34.0,34.0,34.0,22.0,0.0
PQR.py,2.0,2.0,2.0,1.0,13.0,1.0,7.0,5.0,2.0,11.0,11.0,291.0,52.0,100.0,19.0,81.0,153.0,0.0,0.0,95.0,19.0,76.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1.0,4.0,1.53,23.0,23.0,23.0,11.0,0.0
TRJ.py,3.0,3.0,3.0,2.0,19.0,1.0,13.0,6.0,4.0,32.0,31.0,926.0,170.0,446.0,50.0,396.0,347.0,2.0,0.0,412.0,45.0,367.0,2.0,2.0,2.0,1.0,13.0,13.0,13.0,9.0,3.0,0.78,113.0,113.0,113.0,71.0,0.0
XYZ.py,2.0,2.0,2.0,1.0,14.0,1.0,8.0,5.0,3.0,19.0,19.0,423.0,75.0,178.0,35.0,143.0,178.0,0.0,0.0,173.0,31.0,142.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,3.0,1.0,46.0,46.0,46.0,31.0,0.0
core.py,4.0,4.0,4.0,2.0,20.0,1.0,13.0,6.0,3.0,32.0,32.0,770.0,98.0,429.0,49.0,380.0,272.0,0.0,0.0,386.0,43.0,343.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,8.0,3.0,0.63,132.0,132.0,132.0,78.0,0.0
AtomGroup.py,2.0,2.0,2.0,1.0,17.0,2.0,6.0,8.0,8.0,165.0,164.0,3725.0,774.0,1210.0,260.0,950.0,1787.0,1.0,0.0,1035.0,210.0,825.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,7.0,4.0,1.48,365.0,365.0,365.0,217.0,0.0
LAMMPSParser.py,3.0,3.0,3.0,2.0,18.0,1.0,13.0,3.0,2.0,23.0,22.0,516.0,80.0,315.0,31.0,284.0,133.0,1.0,0.0,289.0,31.0,258.0,1.0,1.0,1.0,1.0,18.0,18.0,18.0,8.0,6.0,0.42,79.0,79.0,79.0,48.0,0.0
PDBParser.py,2.0,2.0,2.0,1.0,17.0,4.0,13.0,7.0,0.0,3.0,2.0,88.0,17.0,34.0,7.0,27.0,40.0,2.0,0.0,33.0,7.0,26.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.18,6.0,6.0,6.0,3.0,0.0
PDBQTParser.py,1.0,1.0,1.0,1.0,18.0,2.0,11.0,7.0,1.0,2.0,2.0,83.0,15.0,27.0,6.0,21.0,46.0,0.0,0.0,26.0,6.0,20.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.7,3.0,3.0,3.0,2.0,0.0
